GPMC, 0x00000000, 0x3fffffff, rw, special
On-chip Boot ROM, 0x40000000, 0x4001BFFF, r, ROM
Reserved, 0x4001C000, 0x401FFFFF, ?, reserved
SRAM internal, 0x40200000, 0x4020FFFF, rw, RAM
Reserved, 0x40210000, 0x47FFFFFF, ?, reserved
L4-Core, 0x48000000, 0x48FFFFFF, rw, registers
L4-Per, 0x49000000, 0x490FFFFF, rw, registers
Reserved, 0x49100000, 0x4FFFFFFF, ?, reserved
SGX, 0x50000000, 0x5000FFFF, rw, registers
Reserved, 0x50010000, 0x53FFFFFF, ?, reserved
L4-Emu, 0x54000000, 0x547FFFFF, rw, registers
Reserved, 0x54800000, 0x5BFFFFFF, ?, reserved
IVA2.2 subsystem, 0x5C000000, 0x5EFFFFFF, rw, iva2.2 
Reserved, 0x5F000000, 0x67FFFFFF, ?, reserved
L3 control registers, 0x68000000, 0x68FFFFFF, rw, registers
Reserved, 0x69000000, 0x6BFFFFFF, ?, reserved
SMS registers, 0x6C000000, 0x6CFFFFFF, rw, registers
SDRC registers, 0x6D000000, 0x6DFFFFFF, rw, registers
GPMC registers, 0x6E000000, 0x6EFFFFFF, rw, registers
Reserved, 0x6F000000, 0x6FFFFFFF, ?, reserved
SDRC/SMS virtual address space 0, 0x70000000, 0x7FFFFFFF, rw, virtual
CS0 -- SDRAM, 0x80000000, 0x9FFFFFFF, rw, RAM
CS1 -- SDRAM, 0xA0000000, 0xBFFFFFFF, rw, RAM
Reserved, 0xC0000000, 0xDFFFFFFF, ?, reserved
SDRC/SMS virtual address space 1, 0xE0000000, 0xFFFFFFFF, rw, virtual
